Table I entries for CookeTriplet.zmx, wavelength 2 (0.55 um), from
BuchdahlTableI in this repository. Buchdahl works in units of the focal
length, so lengths here are divided by EFL and curvatures multiplied by it.

EFL 49.999981961   Buchdahl p 0.230243186

entry     surface 1           surface 2           surface 3           surface 4           surface 5           surface 6      
          -2.886195E-02   -1.016537E-02   -6.544717E-02   -1.817594E-02   -7.425448E-02
    int   -4.500546E-07   -5.170097E-06   -3.390619E-06   -3.801848E-05   -1.120603E-05
          -3.750481E-05   -2.490783E-04   -2.195514E-04   -1.158444E-04   -1.478077E-05
          -9.339134E-04   -1.648652E-03   -2.516028E-04   -1.181116E-03   -5.366678E-03
          -4.371861E-03   -2.036844E-03   -2.073007E-02   -4.623052E-03   -1.827916E-02
    ind   -6.493330E-04   -2.287864E-03   -9.979845E-04   -6.011291E-03   -3.378551E-03
           2.211634E-03   -7.587306E-03   -6.024104E-03   -4.702777E-03   -1.291620E-05
          -3.274136E-02   -7.367354E-03   -5.695265E-03   -6.376904E-03   -1.886312E-02
          -2.449009E-02   -8.128531E-03   -4.471710E-02   -1.355289E-02   -5.597531E-02
  surface 6
    tot   -8.982115E-04    3.974193E-03    3.042702E-03   -4.116502E-03   -5.690183E-04
          -1.402167E-03   -1.089165E-02   -1.222957E-02   -9.060327E-03   -1.052235E-03
           1.646465E-02    1.975309E-02    5.513042E-03    1.434520E-02   -1.248544E-02
          -5.631709E-03   -3.728288E-03   -4.428202E-03   -1.183004E-03   -5.887089E-04
    int   -1.162133E-03    3.382711E-03    2.727371E-03   -5.951140E-03   -2.875151E-03
          -5.597708E-03    5.736696E-03    4.082256E-03    2.570173E-03   -3.311067E-05
          -3.689900E-03   -6.747296E-04   -7.165171E-04   -8.241014E-04    5.346405E-04
           1.305887E-04   -1.017712E-04    5.823444E-05   -5.654530E-05    3.188651E-05
    ind    2.639217E-04    5.914824E-04    3.153301E-04    1.834639E-03    2.306133E-03
           4.195541E-03   -1.662834E-02   -1.631183E-02   -1.163050E-02   -1.019124E-03
           2.015455E-02    2.042782E-02    6.229559E-03    1.516930E-02   -1.302008E-02
          -5.762297E-03   -3.626517E-03   -4.486437E-03   -1.126458E-03   -6.205954E-04

System totals:
    tot    1.681450E-03    1.556696E-03    1.146383E-03    3.820781E-03    3.086343E-03
          -7.418192E-04   -7.553284E-03   -7.157220E-03   -4.282416E-03   -5.072596E-04
           1.341386E-02    1.461144E-03    3.345284E-03    3.453259E-03    1.049465E-02
           9.644176E-03    2.707664E-03   -4.593489E-02   -1.394715E-03    1.083496E-03
    int   -6.358796E-04    3.340065E-03    2.963622E-03    5.230047E-03    8.988397E-04
           6.523098E-03    3.590497E-02    3.134681E-02    1.749742E-02    1.572068E-03
           4.109268E-02    4.882838E-02    9.560670E-03    3.245530E-02    7.742713E-02
           5.099967E-02    1.179899E-02    2.898833E-02    6.518333E-03    3.889564E-03
    ind    2.317330E-03   -1.783369E-03   -1.817239E-03   -1.409266E-03    2.187503E-03
          -7.264917E-03   -4.345826E-02   -3.850403E-02   -2.177983E-02   -2.079327E-03
          -2.767882E-02   -4.736724E-02   -6.215386E-03   -2.900204E-02   -6.693248E-02
          -4.135550E-02   -9.091324E-03   -7.492322E-02   -7.913049E-03   -2.806068E-03
