surface	part	b	f	c	pi	e	b5	f1	f2	m1	m2	m3	n1	n2	n3	c5	pi5	e5	b7	tau2	tau3	tau4	tau5	tau6	tau7	tau8	tau9	tau10	tau11	tau12	tau13	tau14	tau15	tau16	tau17	tau18	tau19	tau20
6	intrinsic	0.049215691693345075	-0.038629129481237666	0.030319794218801984	0.05341343416580185	-0.06572175681904069	0.002824280608544229	-0.005347581829979695	-0.0031308192982533326	0.004914726173438671	0.003426668079035067	-0.0008376323784009733	-0.0026895731901735815	0.0045340463127102205	0.0019382966009656272	-0.0007606792447241841	-0.002927070860426326	0.0028944950564530926	0.00019884036298588477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	induced	0	0	0	0	0	-0.0006309556885753472	-0.0011685709275911244	-0.00117035468521548	0.0017790994086811143	0.0004936126354883256	0.0030510751087912584	-0.0017607521501330431	-0.0033540330269610443	-0.0011332301623118084	0.0003000272017297176	0.002241859699595824	-0.0029032714272861047	-6.145686947976563E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	surface_total	0.049215691693345075	-0.038629129481237666	0.030319794218801984	0.05341343416580185	-0.06572175681904069	0.002193324919968882	-0.006516152757570819	-0.004301173983468813	0.006693825582119785	0.003920280714523393	0.002213442730390285	-0.004450325340306625	0.0011800132857491762	0.0008050664386538189	-0.0004606520429944665	-0.0006852111608305019	-8.776370833012137E-06	0.00013738349350611914	-0.0006838855599940339	-0.0005335518876893346	0.0009915649103399721	0.0002095311833774103	0.0007672422560339205	-0.00027802561774561784	0.00012686127484895328	0.00014595548909082415	6.342267614125895E-05	-0.00017070639291020986	-0.0008135883499502657	-2.864634945277911E-05	-0.0004216708355880077	2.8387038931805653E-05	0.00018745613662704148	6.028251755508098E-05	-4.4507720414927826E-05	4.68573739898569E-05	-5.1732010789760746E-05
7	intrinsic	-0.00010620985598918941	0.0003044099608378404	-0.0008724748131353035	-0.026614624955028858	0.0787812664469137	3.569962371019728E-07	2.3129555799599607E-06	3.336148856547486E-06	-1.912359137129787E-05	-0.00014065599394069158	-2.7148057050789902E-05	0.0004031366506273352	0.001296208206185939	0.000609199338056401	-0.000873018539160165	8.39318679417896E-06	0.002478118129450469	-1.4785755396355433E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	induced	0	0	0	0	0	9.878291254725577E-06	-0.0004324264019117424	-0.0004131042857266872	0.0023102452069213926	0.0012286913268694578	0.0007618441602680723	-0.0011733073061395698	-0.005479209909566158	-0.0016656984176427663	0.001952899271665249	0.0002872103140299594	-0.0008313496984223296	-5.586721115873143E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	surface_total	-0.00010620985598918941	0.0003044099608378404	-0.0008724748131353035	-0.026614624955028858	0.0787812664469137	1.0235287491827551E-05	-0.00043011344633178244	-0.0004097681368701397	0.0022911216155500945	0.0010880353329287662	0.0007346961032172823	-0.0007701706555122346	-0.004183001703380219	-0.0010564990795863653	0.001079880732505084	0.00029560350082413837	0.0016467684310281395	-5.588199691412778E-06	1.8266876241518486E-05	2.6446482072661692E-06	9.285628291985111E-05	4.1305720797621505E-05	7.223493535123889E-05	-0.0004081052378572099	-0.00033041014270714325	-0.00015449831993066072	-9.881896388664934E-06	0.001182480554414314	0.0002947311515820138	0.00016082941020189077	3.556846554695583E-05	2.7911572377454563E-05	0.00010217635631823554	5.045636191191768E-05	4.06278200411693E-05	-1.3537101537391755E-05	0.0001641467135025625
8	intrinsic	-3.071089497146749E-05	-0.0005897815271038087	-0.011326346888818116	0.0066434997304885245	-0.08993084541493541	7.04015293535959E-08	2.779951614358426E-06	1.4279388667265604E-06	5.484515942705726E-05	1.1122800559133121E-05	2.2167263917769488E-05	0.0002136057026514967	0.0005673843272045289	7.083866686630579E-05	0.0006802038358247725	-0.00046899400986787814	0.004056138833072713	-1.6972803061184596E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	induced	0	0	0	0	0	-2.6414284032280102E-05	-0.000560529169869672	-0.00022637230890316907	-0.002199147668921087	-0.0013000908325193961	0.0003928838879797301	0.0015819683795235656	0.0021897011985332533	0.00026946651643691374	-0.001793143147496643	0.00025385230272772553	-0.006226030469731443	-7.1311113522456945E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	surface_total	-3.071089497146749E-05	-0.0005897815271038087	-0.011326346888818116	0.0066434997304885245	-0.08993084541493541	-2.6343882502926505E-05	-0.0005577492182553135	-0.00022494437003644252	-0.00214430250949403	-0.001288968031960263	0.0004150511518974996	0.0017955740821750622	0.002757085525737782	0.00034030518330321956	-0.0011129393116718705	-0.0002151417071401526	-0.0021698916366587303	-7.131281080276306E-06	-5.1304959790853865E-05	-2.0106229828176442E-05	1.176945725139494E-05	-3.6736477754779154E-05	0.0001338417194107241	0.0001862111312933536	7.083026381509909E-05	-6.431051713897019E-06	-1.0855862155854645E-05	-0.0013241778482627753	-0.0004061997947737447	-0.00016398140362654004	-0.00011154446563418213	-1.4349335259558338E-05	-0.00014464523593858553	-4.988412580163004E-05	-5.43793271531296E-05	-2.5652161879867256E-05	-0.0001917797467133917
9	intrinsic	-0.044038765473487104	0.01971086625609216	-0.008822187551997894	-0.037610387589602175	0.020782287348473174	-0.0018905659512764058	0.003532825065666383	0.0026866457458494925	-0.002404977269665734	-0.0027109545142589876	-0.0012017315130547091	0.0012133687509718707	0.002396890924661581	0.0009295100269833446	-0.00020801500256172577	0.00020079461871064548	3.2316986835603486E-06	-0.00010259376799280603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	induced	0	0	0	0	0	-0.00017567462769130173	-0.00047123811884277255	-0.0007794867375568745	0.0009743500534759978	0.001762280388669462	0.002936903226233797	-0.0009954947205030676	-0.006551355499266319	-0.002402635900232267	0.0007652152417768672	0.0008476311827026926	-0.0011951099752127094	-5.656843037976521E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	surface_total	-0.044038765473487104	0.01971086625609216	-0.008822187551997894	-0.037610387589602175	0.020782287348473174	-0.0020662405789677075	0.0030615869468236107	0.001907159008292618	-0.0014306272161897363	-0.0009486741255895256	0.001735171713179088	0.0002178740304688031	-0.004154464574604739	-0.0014731258732489224	0.0005572002392151414	0.001048425801413338	-0.0011918782765291491	-0.00015916219837257124	0.0004262042136071535	0.00032709676150670305	-0.00021450040033633316	1.1762263268129873E-05	0.00020391492320382892	-0.000529261320652409	-0.0006216582413846823	-0.00039395794423294797	-6.125612686804412E-05	0.00045426689995131057	0.0004140954996851405	0.0001081634428863693	0.0002160081824730465	-6.212104331831291E-05	-1.5933860996489377E-05	-1.750272450421443E-07	-9.560963031796278E-05	-4.776806808711199E-05	2.0767067356153505E-05
TOTAL	transverse	0.009364706453578533	-0.008375668364760076	0.019486878526952453	-0.05373007920727936	0.01434128117209935	-0.003326183802304967	-0.02073866541584235	-0.013835507257564448	0.06155981933946004	0.03275475747212862	0.061025998149095206	-0.0014574584982488589	-0.0006529533161883345	-0.0009068888843611415	-0.0007338966579141383	0.008286437714771385	0.0019067207491923351	-0.0006391383030204979	-0.0019800828104521097	-0.0014816251933628239	0.00851615850155339	0.0022737038477464813	0.012940187993151499	-0.003527258326103992	-0.00263435310182299	-0.0013423593758550762	-7.046626864886688E-05	0.0053368939366350045	-0.0036107261021661985	0.0016837781981171441	-0.0023019087723184966	0.0020185633877621827	0.0014604305559887878	0.0006068987742904841	-0.0013282606197804875	-0.00027254414830668827	6.767107888518806E-05

# intrinsic + aspheric + induced = surface_total, per surface, unscaled,
# through b7. tau2..tau20 are given in surface_total only, as each surface's
# share of the tertiary scheme's totals; they are not split into parts.
# Summing surface_total over the surfaces and multiplying by the F/number
# (8.000315139820863) reproduces the transverse totals exactly.
